Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
09/21/2020,422,2,28,52,123,85,57,46,34,18,7,0,216,203,3,210,5,43,90,15,59,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,3,5,5,4,6,2,3,0,15,13,0,15,0,10,2,0,1
12/15/2020,1621,19,97,215,367,271,258,241,157,68,44,0,818,790,13,613,37,237,252,89,393,0,0,0,3,3,6,5,2,0,6,13,0,9,1,3,4,1,1,1,6,7,11,12,32,15,13,0,43,54,0,28,5,36,15,4,9
,529,1,528,28,119,113,85,75,58,25,13,13,287,231,11,126,15,127,123,32,106,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,26,69,60,76,94,81,68,54,0,260,264,4,181,44,152,101,34,16
09/18/2020,357,4,30,41,101,74,45,45,34,8,9,0,164,192,1,145,13,45,80,18,56,0,0,0,0,0,0,1,3,0,2,2,0,1,0,1,1,1,0,0,4,0,1,3,5,8,9,0,16,13,1,4,0,12,12,0,2
01/05/2021,1609,16,94,171,472,301,239,185,135,67,37,2,816,789,4,524,46,239,336,95,369,0,0,0,1,2,3,6,4,0,3,13,0,5,1,5,5,0,0,0,10,5,5,12,25,20,17,0,47,47,0,19,6,30,29,5,5
12/04/2020,1847,32,106,241,407,341,301,273,157,84,43,0,936,902,9,591,57,280,308,95,516,0,0,1,1,4,4,7,15,0,14,18,0,16,1,6,9,0,0,4,6,16,11,20,21,15,13,0,51,55,0,27,4,45,17,9,4
10/01/2020,362,4,35,50,121,69,41,49,15,15,2,0,176,185,1,149,6,28,93,24,62,0,0,0,0,2,1,1,0,0,1,3,0,2,1,1,0,0,0,1,3,6,3,4,8,5,5,0,22,13,0,14,1,11,4,0,5
04/29/2020,1151,42,160,54,208,231,219,201,117,62,59,0,535,589,27,517,17,171,115,47,284,0,1,1,4,4,5,8,19,0,20,22,0,16,3,13,10,0,0,0,12,11,23,25,34,22,33,0,80,80,0,58,4,48,36,9,5
11/28/2020,1375,17,124,159,327,257,218,200,129,55,30,0,696,674,5,483,39,153,238,58,404,0,0,1,0,4,3,4,5,0,9,8,0,6,0,7,4,0,0,2,7,10,12,18,24,27,24,0,56,67,1,38,3,45,27,5,6
03/21/2021,206,3,,18,69,44,27,24,13,7,4,0,96,110,0,40,10,43,67,12,34,0,0,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
